583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6]-4:C[6]-4:    C[6](C[6]CHO)(O[6]C)(OC)(H)    O(C[6]CHO)(CCHH)    O[6](C[6]CCH)(C[6]CHO)    107.9822    1.224    13    109.9807    2.4490    137    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6]-4:C[6]-4:    C[6](C[6]CHO)(O[6]C)(OC)(H)    O(C[6]CHO)(CH3)    O[6](C[6]CCH)(C[6]CHO)    110.7891    2.433    52    109.9807    2.4490    137    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C[6]-4:    C[6]-4:C[6]-4:    C[6](C[6]CHH)(O[6]C)(OC)(H)    O(C[6]CCH)(C[6]CHO)    O[6](C[6]CCH)(C[6]CHO)    110.2810    1.285    4    110.6551    2.4126    192    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C[6]-4:    C[6]-4:C[6]-4:    C[6](C[6]CHO)(O[6]C)(OC)(H)    O(C[6]CHO)2    O[6](C[6]CCH)(C[6]CHO)    111.4339    0.982    29    110.6551    2.4126    192    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C[6]-4:    C[6]-4:C[6]-4:    C[6](C[6]CHO)(O[6]C)(OC)(H)    O(C[6]CCH)(C[6]CHO)    O[6](C[6]CCH)(C[6]CHO)    110.6116    2.573    153    110.6551    2.4126    192    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:3:2:    4:1:    3:4:    C[6]-4:O[6]-2:C-3:O-2:    C[6]-4:H-1:    C[6,6]-3:C[6]-4:    C[6](C[6]CHH)(O[6]C)(COO)(OH)    O(C[6]CCO)(H)    O[6](C[6,6]CC)(C[6]CCO)    108.0221    1.867    6    108.7991    2.6703    7    108.7991    7.0000    7    109.9639    2.3880    855
583    111    481    4:2:4:2:    4:1:    4:4:    C[6]-4:O[6]-2:C-4:O-2:    C[6]-4:H-1:    C[6]-4:C[6]-4:    C[6](C[6]CHO)(O[6]C)(CH3)(OH)    O(C[6]CCO)(H)    O[6](C[6]CCO)(C[6]CHH)    110.4993    0.460    4    110.7030    1.1219    23    110.7071    24.0000    24    109.9639    2.3880    855
583    111    481    4:2:4:2:    4:1:    4:4:    C[6]-4:O[6]-2:C-4:O-2:    C[6]-4:H-1:    C[6]-4:C[6]-4:    C[6](C[6]CHH)(O[6]C)(CH3)(OH)    O(C[6]CCO)(H)    O[6](C[6]CCO)(C[6]CHH)    109.7521    0.371    5    110.7030    1.1219    23    110.7071    24.0000    24    109.9639    2.3880    855
583    111    481    4:2:4:2:    4:4:    4:3:    C[6]-4:O[6]-2:C-4:O-2:    C[6]-4:C-4:    C[6]-4:C[6]-3:    C[6](C[6]COO)(O[6]C)(CH3)(OC)    O(C[6]CCO)(CH3)    O[6](C[6]CCO)(C[6]CO)    108.3554    0.481    14    108.4574    0.6091    15    108.9090    18.0000    18    109.9639    2.3880    855
583    111    481    4:2:4:2:    4:4:    4:4:    C[6]-4:O[6]-2:C-4:O-2:    C[6]-4:C-4:    C[6,6]-4:C[6]-4:    C[6](C[6]COO)(O[6]C)(CH3)(OC)    O(C[6]CCO)(CCHH)    O[6](C[6,6]CCH)(C[6]CCO)    110.0283    0.269    6    110.3795    0.5189    32    110.4619    87.0000    87    109.9639    2.3880    855
583    111    481    4:2:4:2:    4:4:    4:4:    C[6]-4:O[6]-2:C-4:O-2:    C[6]-4:C-4:    C[6,6]-4:C[6]-4:    C[6](C[6]COO)(O[6]C)(CH3)(OC)    O(C[6]CCO)(CH3)    O[6](C[6,6]CCH)(C[6]CCO)    110.4606    0.532    26    110.3795    0.5189    32    110.4619    87.0000    87    109.9639    2.3880    855
