29    699    3:3:3:    3:1:1:    N[5,6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](N[5,6]BiC)(C[6]CH)(COO)    C(C[6]CN)(O)2    1.5138    0.007    5    1.5127    0.0098    13    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    N[6]-3:C[6]-3:C-3:    C[6]-3:H-1:H-1:    C[6](N[6]SiC)(C[6]CH)(CHH)    C(C[6]CN)(H)2    1.3691    0.025    23    1.3789    0.0400    34    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    N[6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](N[6]CH)(C[6]CH)(COO)    C(C[6]CN)(O)2    1.5096    0.024    7    1.5095    0.0171    14    1.4974    0.0302    2841
29    699    3:3:3:    3:2:1:    As[6]-3:C[6]-3:C-3:    C[6]-3:O-2:O-1:    C[6](As[6]CC)(C[6]AsC)(COO)    C(C[6]AsC)(OC)(O)    1.5026    0.007    18    1.5026    0.0070    18    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[5,6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[5,6]CO)(C[6]CH)(CHN)    C(C[6]CC)(NC)(H)    1.4272    0.029    10    1.4468    0.0254    27    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[5,6]-3:C[6]-3:C-3:    C[6]-3:O-2:O-1:    C[6](C[5,6]CO)(C[6]CH)(COO)    C(C[6]CC)(OC)(O)    1.4752    0.004    6    1.4957    0.0162    71    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6,6]-3:C[6,6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6,6]CC)2(CHN)    C(C[6]CC)(NN)(H)    1.4653    0.007    8    1.4681    0.0074    16    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6,6]-3:C[6,6]-3:C-3:    C[6]-3:O-2:O-1:    C[6](C[6,6]CC)2(COO)    C(C[6]CC)(OC)(O)    1.4999    0.008    46    1.5028    0.0109    58    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6,6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6,6]CC)(C[6]CH)(CHN)    C(C[6]CC)(NN)(H)    1.4734    0.016    11    1.4482    0.0213    136    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6,6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6,6]CO)(C[6]CH)(CHN)    C(C[6]CC)(NC)(H)    1.4443    0.030    19    1.4482    0.0213    136    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6,6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6,6]CC)(C[6]CO)(CHN)    C(C[6]CC)(NC)(H)    1.4321    0.021    35    1.4482    0.0213    136    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6,6]-3:C[6]-3:C-3:    C[6]-3:N-2:H-1:    C[6](C[6,6]CC)(C[6]CO)(CHN)    C(C[6]CC)(NN)(H)    1.4503    0.009    55    1.4482    0.0213    136    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6,6]-3:C[6]-3:C-3:    C[6]-3:O-2:O-1:    C[6](C[6,6]CC)(C[6]CH)(COO)    C(C[6]CC)(OCu)(O)    1.5113    0.004    10    1.4998    0.0155    189    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6,6]-3:C[6]-3:C-3:    C[6]-3:O-2:O-1:    C[6](C[6,6]CC)(C[6]CC)(COO)    C(C[6]CC)(OC)(O)    1.5050    0.008    23    1.4998    0.0155    189    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6,6]-3:C[6]-3:C-3:    C[6]-3:O-2:O-1:    C[6](C[6,6]CO)(C[6]CH)(COO)    C(C[6]CC)(OH)(O)    1.4869    0.013    26    1.4998    0.0155    189    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6,6]-3:C[6]-3:C-3:    C[6]-3:O-2:O-1:    C[6](C[6,6]CC)(C[6]CH)(COO)    C(C[6]CC)(OH)(O)    1.5048    0.024    33    1.4998    0.0155    189    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6,6]-3:C[6]-3:C-3:    C[6]-3:O-2:O-1:    C[6](C[6,6]CC)(C[6]CH)(COO)    C(C[6]CC)(OC)(O)    1.4932    0.008    43    1.4998    0.0155    189    1.4836    0.0245    11132
29    699    3:3:3:    3:2:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:As-2:O-1:    C[6](C[6]CH)2(CAsO)    C(C[6]CC)(AsC)(O)    1.5003    0.032    6    1.5003    0.0320    6    1.4836    0.0245    11132
