973	988	988	4:4:	3:2:2:2:	2:2:2:2:	P-4:P-4:	O-3:O-2:O-2:O-2:	O-2:O-2:O-2:O-2:	O(PO3)2	P(OCrCs)(OCr)(OB)(OP)	P(OCr)2(OB)(OP)	O(PO3)2	P(OCrCs)(OCr)(OB)(OP)	P(OCr)2(OB)(OP)	130.9830	0.000	1	130.9830	0.000	1     130.9830       0.000      1      130.9830     0.000     1
973	988	988	4:4:	3:2:2:2:	3:2:2:2:	P-4:P-4:	C[6a]-3:O-2:O-2:O-2:	C[6a]-3:O-2:O-2:O-2:	O(PC[6a]OO)2	P(C[6a]C[6a]2)(OCu)2(OP)	P(C[6a]C[6a]2)(OCu)2(OP)	O(PC[6a]OO)2	P(C[6a]C[6a]2)(OCu)2(OP)	P(C[6a]C[6a]2)(OCu)2(OP)	125.6700	0.000	1	125.6700	0.000	1     125.6700       0.000      1      125.6700     0.000     1
973	988	988	4:4:	3:3:2:1:	3:3:2:1:	P-4:P-4:	N-3:N-3:O-2:O-1:	N-3:N-3:O-2:O-1:	O(PNNO)2	P(NCC)2(OP)(O)	P(NCC)2(OP)(O)	O(PNNO)2	P(NCC)2(OP)(O)	P(NCC)2(OP)(O)	125.6090	0.000	1	125.6090	0.000	1     127.5138       4.007      4      127.5138     4.007     4
973	988	988	4:4:	3:3:2:1:	3:3:2:1:	P-4:P-4:	N-3:N-3:O-2:O-1:	N-3:N-3:O-2:O-1:	O(PNNO)2	P(NCH)2(OP)(O)	P(NCH)2(OP)(O)	O(PNNO)2	P(NCH)2(OP)(O)	P(NCH)2(OP)(O)	126.8600	0.000	1	126.8600	0.000	1     127.5138       4.007      4      127.5138     4.007     4
973	988	988	4:4:	3:3:2:1:	3:3:2:1:	P-4:P-4:	N-3:N-3:O-2:O-1:	N-3:N-3:O-2:O-1:	O(PNNO)2	P(NC[6a]H)2(OP)(O)	P(NC[6a]H)2(OP)(O)	O(PNNO)2	P(NC[6a]H)2(OP)(O)	P(NC[6a]H)2(OP)(O)	128.7930	6.391	2	128.7930	6.391	2     127.5138       4.007      4      127.5138     4.007     4
973	988	988	4:4:	3:3:2:2:	2:2:2:2:	P-4:P-4:	O-3:O-3:O-2:O-2:	O-2:O-2:O-2:O-2:	O(PO3)2	P(ONaNi)2(OCa)(OP)	P(OCa)(ONi)2(OP)	O(PO3)2	P(ONaNi)2(OCa)(OP)	P(OCa)(ONi)2(OP)	120.8050	0.000	1	120.8050	0.000	1     120.8050       0.000      1      120.8050     0.000     1
973	988	988	4:4:	3:3:2:2:	3:3:2:2:	P-4:P-4:	N-3:N-3:O-2:O-2:	N-3:N-3:O-2:O-2:	O(PNNO)2	P(NCH)2(OMn)(OP)	P(NCH)2(OMn)(OP)	O(PNNO)2	P(NCH)2(OMn)(OP)	P(NCH)2(OMn)(OP)	135.5450	0.000	1	135.5450	0.000	1     135.5450       0.000      1      135.5450     0.000     1
973	988	988	4:4:	4:4:2:2:	4:4:4:2:	P-4:P-4:	C-4:C-4:N-2:O-2:	C-4:C-4:C-4:O-2:	O(PCCN)(PC3)	P(CH3)2(NSi)(OP)	P(CC3)3(OP)	O(PCCN)(PC3)	P(CH3)2(NSi)(OP)	P(CC3)3(OP)	152.9720	0.000	1	152.9720	0.000	1     152.9720       0.000      1      152.9720     0.000     1
973	991	991	4:4:	3:2:1:1:	3:2:1:1:	S-4:S-4:	C[6a]-3:O-2:O-1:O-1:	C[6a]-3:O-2:O-1:O-1:	O(SC[6a]OO)2	S(C[6a]C[6a]2)(OS)(O)2	S(C[6a]C[6a]2)(OS)(O)2	O(SC[6a]OO)2	S(C[6a]C[6a]2)(OS)(O)2	S(C[6a]C[6a]2)(OS)(O)2	126.1860	0.000	1	126.1860	0.000	1     126.1860       0.000      1      126.1860     0.000     1
973	996	996	2:2:	2:1:	2:1:	C-2:C-2:	O-2:O-1:	O-2:O-1:	O(CO)2	C(OC)(O)	C(OC)(O)	O(CO)2	C(OC)(O)	C(OC)(O)	180.0000	0.000	1	180.0000	0.000	1     180.0000       0.000      1      180.0000     0.000     1
