958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-3_0:O-3_0     H-3_3:S-3_2_2_2     H(OS)2    O(SC[6a]OO)(HO)     H(OS)2    O(SC[6a]OO)(HO)   1.2258    0.0000    1     1.2258     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-3_0:O-3_0     H-3_3:S-3_3_2_2     H(OS)2    O(SCOO)(HO)     H(OS)2    O(SCOO)(HO)   1.2413    0.1969    2     1.2413     0.1969    2
958    960     SP-NON_SP3    N:O    2:3:    3:2:    O-3_0_0:O-3_0     H-3_0:N[5a]-3_2_2     H(ON[5a])(OCH)    O(N[5a]C[5a]N[5a])(HO)     H(ON[5a])(OCH)    O(N[5a]C[5a]N[5a])(HO)   1.0714    0.0000    1     1.0714     0.0000    1
958    960     SP-NON_SP3    N:O    3:2:    2:1:    O-0_0:O-2_0_0     H-3_0:H-3     H(OCH)(OH)    O(HO)(H)     H(OCH)(OH)    O(HO)(H)   1.1647    0.0000    1     1.1647     0.0000    1
958    960     SP-NON_SP3    N:O    3:2:    2:1:    O-0_0_0:O-0_0     H-3_0:H-3     H(OHH)(OH)    O(HO)(H)     H(OHH)(OH)    O(HO)(H)   1.2067    0.3437    2     1.2067     0.3437    2
958    960     SP-NON_SP3    N:O    3:2:    2:3:    N[6]-2_2_0:O-2_0     C-3_2_1:H-3_2     H(N[6]C[6]2)(OC)    O(HN[6])(CCO)     H(N[6]C[6]2)(OC)    O(HN[6])(CCO)   1.4271    0.0119    3     1.4271     0.0119    3
958    960     SP-NON_SP3    N:O    3:2:    3:2:    N[6]-2_2_0:O-2_0     C-3_2_2:H-3_2     H(N[6]C[6,6a]C[6])(OC)    O(CC[6a]O)(HN[6])     H(N[6]C[6,6a]C[6])(OC)    O(CC[6a]O)(HN[6])   1.4260    0.0000    1     1.4260     0.0000    1
958    960     SP-NON_SP3    N:O    3:2:    3:2:    N[6]-2_2_0:O-2_0     C-3_2_2:H-3_2     H(N[6]C[6]2)(OC)    O(CC[6a]O)(HN[6])     H(N[6]C[6]2)(OC)    O(CC[6a]O)(HN[6])   1.4019    0.0400    6     1.4019     0.0400    6
958    960     SP-NON_SP3    N:O    3:2:    3:2:    N[6]-2_2_0:O-2_0     C[4a]-3_2_2:H-3_3     H(N[6]C[6]2)(OC[4a])    O(C[4a]C[4a]2)(HN[6])     H(N[6]C[6]2)(OC[4a])    O(C[4a]C[4a]2)(HN[6])   1.3825    0.0000    1     1.3825     0.0000    1
958    960     SP-NON_SP3    N:O    3:2:    3:2:    N[6]-2_2_0:O-2_0     C[6a]-3_2_2:H-3_2     H(N[6]C[6]2)(OC[6a])    O(C[6a]C[6a]2)(HN[6])     H(N[6]C[6]2)(OC[6a])    O(C[6a]C[6a]2)(HN[6])   1.4124    0.0152    11     1.4124     0.0152    11
958    960     SP-NON_SP3    N:O    3:2:    3:2:    O-0_0_0:O-2_0     C-3_2_2:H-3_0     H(OHH)(OC)    O(CCO)(HO)     H(OHH)(OC)    O(CCO)(HO)   1.1773    0.1652    3     1.1773     0.1652    3
958    960     SP-NON_SP3    N:O    3:2:    3:2:    O-0_0_0:O-2_0     C-3_2_2:H-3_0     H(OHH)(OC)    O(CC[6a]O)(HO)     H(OHH)(OC)    O(CC[6a]O)(HO)   1.1169    0.0540    3     1.1169     0.0540    3
958    960     SP-NON_SP3    N:O    3:2:    4:2:    O-0_0_0:O-3_0     H-3_0:P-3_3_2_2     H(OHH)(OP)    O(PO3)(HO)     H(OHH)(OP)    O(PO3)(HO)   1.0481    0.0000    1     1.0481     0.0000    1
958    960     SP-NON_SP3    N:O    3:2:    4:2:    O-0_0_0:O-3_0     H-3_0:P-3_3_3_2     H(OHH)(OP)    O(PCOO)(HO)     H(OHH)(OP)    O(PCOO)(HO)   1.2347    0.2439    2     1.2347     0.2439    2
958    960     SP-NON_SP3    N:O    3:2:    4:2:    O-0_0_0:O-3_0     H-3_0:S-3_3_2_2     H(OHH)(OS)    O(SCOO)(HO)     H(OHH)(OS)    O(SCOO)(HO)   1.2949    0.0000    1     1.2949     0.0000    1
958    960     SP-NON_SP3    N:O    3:2:    4:2:    O-3_0_0:O-3_0     H-3_0:P-3_2_2_2     H(OCH)(OP)    O(PO3)(HO)     H(OCH)(OP)    O(PO3)(HO)   1.1104    0.0694    4     1.1104     0.0694    4
958    960     SP-NON_SP3    N:O    4:2:    2:1:    O-0_0_0_0:O-0_0     H-3_0:H-3     H(OHHO)(OH)    O(HO)(H)     H(OHHO)(OH)    O(HO)(H)   0.8338    0.0000    1     0.8338     0.0000    1
958    960     SP-NON_SP3    N:O    4:2:    2:3:    N[6]-3_3_3_0:O-2_0     C-3_3_2:H-3_3     H(N[6]C[6]2C)(OC)    O(HN[6])(CCO)     H(N[6]C[6]2C)(OC)    O(HN[6])(CCO)   1.4300    0.0137    2     1.4300     0.0137    2
958    960     SP-NON_SP3    N:O    4:2:    3:2:    N-0_0_0_0:O-2_0     C-3_2_2:H-3_3     H(NH3)(OC)    O(CC[5]O)(HN)     H(NH3)(OC)    O(CC[5]O)(HN)   1.3800    0.0286    2     1.3800     0.0286    2
958    960     SP-NON_SP3    N:O    4:2:    3:2:    N-3_3_3_0:O-2_0     C-3_2_2:H-3_3     H(NC3)(OC)    O(CC[5]O)(HN)     H(NC3)(OC)    O(CC[5]O)(HN)   1.4264    0.0000    1     1.4264     0.0000    1
959    960     SP-NON_SP3    N:S    3:3:3:2:1:    5:4:    H-0:N[5,5]-2_2_0:N[5]-3_2_0:N[5]-3_2_0:O-3_0     C-3_3_3_3:P[5,5]-3_2_2_2_0     P[5,5](N[5,5]C[5,6a]2)(N[5]C[5,6a]C)2(OC)(H)    O(P[5,5]N[5,5]N[5]2H)(CC3)     P[5,5](N[5,5]C[5,6a]2)(N[5]C[5,6a]C)2(OC)(H){4|C<3>}    O(P[5,5]N[5,5]N[5]2H)(CC3)   1.6130    0.0000    1     1.6130     0.0000    1
