490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_27020_0  465_192_0  1.3359  0.0218  6  1.3359  0.0218  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_27043_0  465_192_0  1.3340  0.0064  3  1.3340  0.0064  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_27368_0  465_192_0  1.2956  0.0109  3  1.2956  0.0109  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_27473_0  465_192_0  1.3277  0.0166  35  1.3277  0.0166  35  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_27666_0  465_192_0  1.3336  0.0197  176  1.3336  0.0197  176  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_28048_0  465_192_0  1.3265  0.0227  530  1.3265  0.0227  530  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_28519_0  465_192_0  1.3198  0.0226  27  1.3198  0.0226  27  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_28804_0  465_192_0  1.3225  0.0098  3  1.3225  0.0098  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_28941_0  465_192_0  1.3187  0.0089  6  1.3187  0.0089  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_28979_0  465_192_0  1.3208  0.0105  6  1.3208  0.0105  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[5a]-3_2_2:F-3:F-3:F-3  C-2_0_0_0  240_29012_0  465_192_0  1.3376  0.0119  3  1.3376  0.0119  3  
