863  955  SP2_SP3  N  4:  3:4:4:1:  P[5]-3_3_2_2  C-3_3_3_3:C[5,6a]-3_2_2:C[5]-3_2_2_0:O-3  665_6574_0  746_174_1  1.4853  0.0000  1  1.4853  0.0000  1  
863  955  SP2_SP3  N  4:  3:4:4:1:  P[5]-3_3_2_2  C[5]-3_3_0_0:C[5]-3_3_3_0:C[6a]-3_2_2:O-3  665_6607_0  746_398_1  1.4916  0.0000  1  1.4916  0.0000  1  
863  955  SP2_SP3  N  4:  3:4:4:1:  P[5]-3_3_2_2  C[5]-3_3_3_0:C[5]-3_3_3_0:C[6a]-3_2_2:O-3  665_6607_0  746_401_1  1.4890  0.0000  1  1.4890  0.0000  1  
863  955  SP2_SP3  N  4:  3:4:4:1:  P[5]-3_3_2_2  C[5]-3_3_3_0:C[5]-3_3_3_3:C[6a]-3_2_2:O-3  665_6607_0  746_395_1  1.5053  0.0009  2  1.5053  0.0009  2  
863  955  SP2_SP3  N  4:  3:4:4:1:  P[5]-3_3_2_2  C[5a]-3_2_2:C[5]-3_3_3_0:C[5]-3_3_3_0:O-3  665_6605_0  746_375_1  1.4955  0.0000  1  1.4955  0.0000  1  
863  955  SP2_SP3  N  4:  4:3:2:1:  P[5,5]-3_3_2_2  C[5,5]-3_3_2_2:C[5,6a]-3_2_2:O-3:O[5]-3_3  665_6542_0  743_12_1  1.4686  0.0042  2  1.4686  0.0042  2  
863  955  SP2_SP3  N  4:  4:3:2:1:  P[5]-3_3_2_2  C[5]-10_3_3_3:N[5]-3_3_3:O-3:O[5]-3_3  665_6600_0  746_282_1  1.4639  0.0000  1  1.4690  0.0058  3  
863  955  SP2_SP3  N  4:  4:3:2:1:  P[5]-3_3_2_2  C[5]-10_3_3_3:N[5]-3_3_3:O-3:O[5]-3_3  665_6600_0  746_282_2  1.4715  0.0054  2  1.4690  0.0058  3  
863  955  SP2_SP3  N  4:  4:3:2:1:  P[5]-3_3_3_2  C[5]-10_3_3_3:N[5]-3_3_3:O-3:O[5]-3_3  665_6600_0  746_282_3  1.4659  0.0012  2  1.4655  0.0011  3  
863  955  SP2_SP3  N  4:  4:3:2:1:  P[5]-3_3_3_2  C[5]-10_3_3_3:N[5]-3_3_3:O-3:O[5]-3_3  665_6600_0  746_282_4  1.4647  0.0000  1  1.4655  0.0011  3  
863  955  SP2_SP3  N  4:  4:3:3:1:  P[5]-3_2_2_2  C[5,6a]-3_2_2:C[5,6]-3_3_3_2:C[6a]-3_2_2:O-3  665_6573_0  746_79_1  1.4833  0.0013  2  1.4833  0.0013  2  
863  955  SP2_SP3  N  4:  4:3:3:1:  P[5]-3_3_2_2  C[5,6]-3_3_2_0:C[6a]-3_2_2:N[5]-3_3_3:O-3  665_6564_0  746_76_1  1.4865  0.0000  1  1.4865  0.0000  1  
863  955  SP2_SP3  N  4:  4:3:3:1:  P[5]-3_3_3_2  C[5]-10_3_3_3:N[5]-3_3_3:N[5]-3_3_3:O-3  665_6598_0  746_280_1  1.4702  0.0076  5  1.4696  0.0063  7  
863  955  SP2_SP3  N  4:  4:3:3:1:  P[5]-3_3_3_2  C[5]-10_3_3_3:N[5]-3_3_3:N[5]-3_3_3:O-3  665_6598_0  746_280_2  1.4682  0.0004  2  1.4696  0.0063  7  
863  955  SP2_SP3  N  4:  4:3:4:1:  P[5,6]-3_3_2_2  C[5,5,6]-3_3_3_0:C[5,6]-3_3_0_0:C[6a]-3_2_2:O-3  665_6549_0  745_4_1  1.4913  0.0018  2  1.4913  0.0018  2  
863  955  SP2_SP3  N  4:  4:3:4:1:  P[5]-3_3_2_2  C-3_0_0_0:C[5]-3_2_0_0:C[5]-3_2_2:O-3  665_6593_0  746_361_1  1.4903  0.0000  1  1.4903  0.0000  1  
863  955  SP2_SP3  N  4:  4:3:4:1:  P[5]-3_3_2_2  C-3_3_3_0:C[5]-3_2_2:O-3:P[4,5]-3_3_3_2  665_6652_0  746_599_1  1.4813  0.0000  1  1.4813  0.0000  1  
863  955  SP2_SP3  N  4:  4:3:4:1:  P[5]-3_3_2_2  C[5,5]-3_3_2_0:C[5]-3_3_0_0:C[6a]-3_2_2:O-3  665_6555_0  746_38_1  1.4865  0.0000  1  1.4865  0.0000  1  
