818  976  SP2_SP2  Y  2:2:1:  4:3:  O[5]-3_2:O[5]-3_2:S-2  C[5,5,6]-3_3_3_2:C[5]-2_2_0  417_31257_1  688_405_1  1.3267  0.0000  1  1.3267  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O[5]-3_2:O[5]-3_2:S-2  C[5,5]-3_3_2_0:C[5]-2_2_0  417_31257_1  688_500_1  1.3339  0.0000  1  1.3339  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O[5]-3_2:O[5]-3_2:S-2  C[5,6]-3_3_2_0:C[5]-2_2_0  417_31356_1  688_1302_1  1.3302  0.0013  2  1.3330  0.0072  4  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O[5]-3_2:O[5]-3_2:S-2  C[5,6]-3_3_2_0:C[5]-2_2_0  417_31356_1  688_1302_2  1.3357  0.0110  2  1.3330  0.0072  4  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O[5]-3_2:O[5]-3_2:S-2  C[5]-2_2_0:C[5]-3_2_0_0  417_31401_1  688_2346_1  1.3322  0.0000  1  1.3322  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O[5]-3_2:O[5]-3_2:S-2  C[5]-2_2_0:C[5]-3_2_1_0  417_31401_2  688_2265_1  1.3336  0.0056  2  1.3336  0.0056  2  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O[5]-3_2:O[5]-3_2:S-2  C[5]-2_2_0:C[5]-3_3_2_2  417_31401_1  688_2687_1  1.3539  0.0000  1  1.3539  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O[5]-3_2:S-2:S[5]-3_2  C[5,6]-3_3_3_2:C[5]-2_2_0  417_31347_1  688_1246_1  1.3393  0.0000  1  1.3393  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  3:3:  C-2_2:O[5]-2_2:S[5]-2_1  C[5]-2_2_1:C[5]-2_2_1  417_31371_1  688_2410_1  1.4260  0.0000  1  1.4260  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  3:3:  N-2_2:O[5]-2_2:S[5]-2_2  C[5,6]-3_2_2:C[5]-2_2_2  417_31346_1  688_1210_1  1.3806  0.0000  1  1.3806  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  3:3:  N-2_2:O[5]-2_2:S[5]-2_2  C[5]-2_2_2:C[5]-2_2_2  417_31373_1  688_2513_1  1.3552  0.0000  1  1.3552  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  3:3:  N-2_2:O[5]-2_2:S[5]-2_2  C[5]-2_2_2:C[5]-2_2_2  417_31374_1  688_2513_2  1.3603  0.0000  1  1.3603  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  3:3:  N-2_2:O[5]-2_2:S[5]-2_2  C[5]-2_2_2:C[5]-3_2_2  417_31373_2  688_2189_1  1.3593  0.0000  1  1.3593  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  3:3:  N[5]-3_2:O-3_2:O[5]-2_2  C[5]-2_2_2:C[5]-3_2_2  417_27273_1  688_2084_1  1.3745  0.0041  2  1.3745  0.0041  2  
818  976  SP2_SP2  Y  2:2:2:  3:3:  N[5]-3_2:O[5]-2_2:S-3_2  C[5]-2_2_2:C[5]-3_2_2  417_30526_1  688_2616_1  1.3636  0.0000  1  1.3636  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  4:3:  N-2_2:O[5]-3_2:S[5]-2_2  C[5]-2_2_0_0:C[5]-2_2_2  417_31374_2  688_2347_1  1.3422  0.0000  1  1.3422  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  4:3:  N-2_2:O[5]-3_2:S[5]-3_2  C[5,6]-3_3_2_0:C[5]-2_2_2  417_31345_1  688_1303_1  1.3678  0.0000  1  1.3678  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  4:3:  N-2_2:O[5]-3_2:Se[5]-3_2  C[5]-3_2_0_0:C[5]-3_2_2  417_32006_1  688_2348_1  1.3651  0.0000  1  1.3651  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  4:3:  N[5]-2_2:O-3_2:O[5]-3_2  C[5,5]-2_2_2_2:C[5]-2_2_2  417_31294_1  688_805_1  1.3537  0.0000  1  1.3537  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  4:3:  N[5]-2_2:O-3_2:O[5]-3_2  C[5]-2_2_2:Si[5,6]-2_2_2_2  417_31467_1  688_2999_1  1.3553  0.0000  1  1.3553  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  4:3:  N[5]-3_2:O-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_2_2_0  417_28034_1  688_2258_1  1.3610  0.0000  1  1.3610  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  4:3:  N[5]-3_2:O[5]-3_2:S-2_2  C[5]-2_2_2:C[5]-3_2_2_0  417_28040_1  688_2568_2  1.3593  0.0000  1  1.3593  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  4:3:  O-12_2:O[5]-3_2:O[5]-3_2  B[5]-3_2_2_2:C[5]-3_2_2  417_31226_1  688_137_1  1.2777  0.0000  1  1.2777  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  4:3:  O-12_2:O[5]-3_2:O[5]-3_2  C[5]-3_2_0_0:C[5]-3_2_2  417_31226_1  688_1750_1  1.3172  0.0000  1  1.3172  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  4:3:  O-2_0:O[5]-3_2:O[5]-3_2  C[5]-3_2_0_0:C[5]-3_2_2  417_31400_1  688_2345_5  1.3231  0.0072  12  1.3231  0.0072  12  
818  976  SP2_SP2  Y  2:2:2:  4:3:  O-3_2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_2_0_0  417_31398_1  688_2345_5  1.3012  0.0049  4  1.3012  0.0049  4  
818  976  SP2_SP2  Y  2:2:2:  5:3:  N[5]-2_2:O-3_2:O[5]-5_2  C[5]-2_2_2:P[5]-2_2_2_2_0  417_30527_1  688_2928_1  1.3438  0.0000  1  1.3438  0.0000  1  
818  976  SP2_SP2  Y  2:2:2:  5:3:  N[5]-2_2:O-3_2:O[5]-5_2  C[5]-2_2_2:P[5]-2_2_2_2_2  417_30527_2  688_2921_1  1.3269  0.0158  2  1.3269  0.0158  2  
818  976  SP2_SP2  Y  2:2:2:  5:3:  N[5]-2_2:O-3_2:O[5]-5_2  C[5]-2_2_2:P[5]-2_2_2_2_2  417_30527_3  688_2929_1  1.3695  0.0034  2  1.3695  0.0034  2  
