818    971     3:2:2:    3:1:    C[5a,6]-3:N[5a]-2:O-2:     C[5a]-3:H-1:     N    C[5a](C[5a,6]C[5a,6]C[6])(N[5a]O[5a])(OH)    O(C[5a]C[5a,6]N[5a])(H)     C[5a](C[5a,6]C[5a,6]C[6])(N[5a]O[5a])(OH){2|C<4>,2|H<1>}    O(C[5a]C[5a,6]N[5a])(H)   1.3282    0.0022    3     1.3282     0.0022    3
818    971     3:2:2:    3:1:    C[5a,6a]-3:N[5a]-2:O-2:     C[5a]-3:H-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(OH)    O(C[5a]C[5a,6a]N[5a])(H)     C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(OH){2|C<3>,2|H<1>}    O(C[5a]C[5a,6a]N[5a])(H)   1.3367    0.0000    1     1.3367     0.0000    1
818    971     3:2:2:    3:1:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:H-1:     N    C[5a](C[5a]C[5a]2)(N[5a]N[5a])(OH)    O(C[5a]C[5a]N[5a])(H)     C[5a](C[5a]C[5a]2)(N[5a]N[5a])(OH){1|C<3>,1|C<4>,1|H<1>,1|N<3>}    O(C[5a]C[5a]N[5a])(H)   1.3331    0.0000    1     1.3331     0.0000    1
818    971     3:2:2:    3:1:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:H-1:     N    C[5a](C[5a]C[5a]C)(N[5a]N[5a])(OH)    O(C[5a]C[5a]N[5a])(H)     C[5a](C[5a]C[5a]C)(N[5a]N[5a])(OH){1|C<3>,1|H<1>}    O(C[5a]C[5a]N[5a])(H)   1.3246    0.0015    2     1.3246     0.0015    2
818    971     3:2:2:    3:1:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:H-1:     N    C[5a](C[5a]C[5a]H)(N[5a]N[5a])(OH)    O(C[5a]C[5a]N[5a])(H)     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(OH){1|C<3>,1|H<1>}    O(C[5a]C[5a]N[5a])(H)   1.3406    0.0088    2     1.3365     0.0216    4
818    971     3:2:2:    3:1:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:H-1:     N    C[5a](C[5a]C[5a]H)(N[5a]N[5a])(OH)    O(C[5a]C[5a]N[5a])(H)     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(OH){2|C<3>}    O(C[5a]C[5a]N[5a])(H)   1.3324    0.0354    2     1.3365     0.0216    4
818    971     3:2:2:    3:1:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:H-1:     N    C[5a](C[5a]C[5a]N)(N[5a]N[5a])(OH)    O(C[5a]C[5a]N[5a])(H)     C[5a](C[5a]C[5a]N)(N[5a]N[5a])(OH){1|C<4>,1|H<1>}    O(C[5a]C[5a]N[5a])(H)   1.3329    0.0000    1     1.3329     0.0000    1
818    971     3:2:2:    3:1:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:H-1:     N    C[5a](C[5a]C[5a]O)(N[5a]N[5a])(OH)    O(C[5a]C[5a]N[5a])(H)     C[5a](C[5a]C[5a]O)(N[5a]N[5a])(OH){1|C<4>,1|H<1>}    O(C[5a]C[5a]N[5a])(H)   1.3406    0.0000    1     1.3406     0.0000    1
818    971     3:2:2:    3:1:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:H-1:     N    C[5a](C[5a]C[5a]S)(N[5a]N[5a])(OH)    O(C[5a]C[5a]N[5a])(H)     C[5a](C[5a]C[5a]S)(N[5a]N[5a])(OH){1|C<4>,1|H<1>}    O(C[5a]C[5a]N[5a])(H)   1.3263    0.0000    1     1.3263     0.0000    1
818    971     3:2:2:    3:1:    N[5a]-3:N[5a]-2:O-2:     C[5a]-3:H-1:     N    C[5a](N[5a]C[5a]C[6a])(N[5a]N[5a])(OH)    O(C[5a]N[5a]2)(H)     C[5a](N[5a]C[5a]C[6a])(N[5a]N[5a])(OH){1|C<4>,2|C<3>}    O(C[5a]N[5a]2)(H)   1.2325    0.0000    1     1.2325     0.0000    1
818    971     3:2:2:    3:2:    C[5,6]-3:O[5]-2:O-2:     C[5]-3:H-2:     N    C[5](C[5,6]C[5,6]C[6])(O[5]C[5])(OH)    O(C[5]C[5,6]O[5])(HO)     C[5](C[5,6]C[5,6]C[6])(O[5]C[5])(OH){1|O<2>,2|C<4>,3|H<1>}    O(C[5]C[5,6]O[5])(HO)   1.2211    0.0000    1     1.2211     0.0000    1
818    971     3:2:2:    3:2:    C[5,6]-3:O[5]-2:O-2:     C[5]-3:H-2:     N    C[5](C[5,6]C[6,6a]C[5,6])(O[5]C[5])(OH)    O(C[5]C[5,6]O[5])(HO)     C[5](C[5,6]C[6,6a]C[5,6])(O[5]C[5])(OH){2|C<4>,3|C<3>}    O(C[5]C[5,6]O[5])(HO)   1.2233    0.0037    2     1.2233     0.0037    2
818    971     3:2:2:    3:2:    C[5a,6]-3:N[5a]-2:O-2:     C[5a]-3:H-2:     N    C[5a](C[5a,6]C[5a,6]C[6])(N[5a]O[5a])(OH)    O(C[5a]C[5a,6]N[5a])(HO)     C[5a](C[5a,6]C[5a,6]C[6])(N[5a]O[5a])(OH){2|C<4>,2|H<1>}    O(C[5a]C[5a,6]N[5a])(HO)   1.3254    0.0000    1     1.3254     0.0000    1
818    971     3:2:2:    3:2:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:H-2:     N    C[5a](C[5a]C[5a]C)(N[5a]N[5a])(OH)    O(C[5a]C[5a]N[5a])(HO)     C[5a](C[5a]C[5a]C)(N[5a]N[5a])(OH){1|C<3>,1|H<1>}    O(C[5a]C[5a]N[5a])(HO)   1.3529    0.0000    1     1.3529     0.0000    1
818    971     3:2:2:    3:3:    C[5,6a]-3:N[5]-2:O-2:     C[5]-3:C[6a]-3:     N    C[5](C[5,6a]C[5,6a]C[6a])(N[5]S[5])(OC[6a])    O(C[5]C[5,6a]N[5])(C[6a]C[6a]2)     C[5](C[5,6a]C[5,6a]C[6a])(N[5]S[5])(OC[6a]){1|H<1>,2|C<3>,2|O<1>}    O(C[5]C[5,6a]N[5])(C[6a]C[6a]2)   1.3349    0.0000    1     1.3349     0.0000    1
818    971     3:2:2:    3:3:    C[5]-3:N[5]-2:O-2:     C[5]-3:C-3:     N    C[5](C[5]S[5]H)(N[5]C[5])(OC)    O(C[5]C[5]N[5])(CCO)     C[5](C[5]S[5]H)(N[5]C[5])(OC){1|N<3>}    O(C[5]C[5]N[5])(CCO)   1.3919    0.0029    2     1.3919     0.0029    2
818    971     3:2:2:    3:3:    C[5]-3:S[5]-2:O-2:     C[5]-3:C-3:     N    C[5](C[5]C[5,6]H)(S[5]C[5,6])(OC)    O(C[5]C[5]S[5])(CCO)     C[5](C[5]C[5,6]H)(S[5]C[5,6])(OC){2|C<4>}    O(C[5]C[5]S[5])(CCO)   1.3836    0.0036    2     1.3836     0.0036    2
818    971     3:2:2:    3:3:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:C[5a]-3:     N    C[5a](C[5a]C[5a]N[5a])(N[5a]O[5a])(OC[5a])    O(C[5a]C[5a]N[5a])2     C[5a](C[5a]C[5a]N[5a])(N[5a]O[5a])(OC[5a]){1|N<2>,1|N<3>}    O(C[5a]C[5a]N[5a])2   1.3387    0.0064    2     1.3387     0.0064    2
818    971     3:2:2:    3:3:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:C[5a]-3:     N    C[5a](C[5a]N[5a]C[5])(N[5a]O[5a])(OC[5a])    O(C[5a]C[5a]N[5a])2     C[5a](C[5a]N[5a]C[5])(N[5a]O[5a])(OC[5a]){1|C<3>,1|N<2>}    O(C[5a]C[5a]N[5a])2   1.3459    0.0000    1     1.3531     0.0081    8
818    971     3:2:2:    3:3:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:C[5a]-3:     N    C[5a](C[5a]N[5a]C[5])(N[5a]O[5a])(OC[5a])    O(C[5a]C[5a]N[5a])2     C[5a](C[5a]N[5a]C[5])(N[5a]O[5a])(OC[5a]){1|C<3>,1|N<3>}    O(C[5a]C[5a]N[5a])2   1.3451    0.0000    1     1.3531     0.0081    8
818    971     3:2:2:    3:3:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:C[5a]-3:     N    C[5a](C[5a]N[5a]C[5])(N[5a]O[5a])(OC[5a])    O(C[5a]C[5a]N[5a])2     C[5a](C[5a]N[5a]C[5])(N[5a]O[5a])(OC[5a]){2|N<2>}    O(C[5a]C[5a]N[5a])2   1.3557    0.0078    6     1.3531     0.0081    8
818    971     3:2:2:    3:3:    N[5a]-3:N[5a]-2:O-2:     C[5a]-3:C[6a]-3:     N    C[5a](N[5a]C[5a]C[6a])(N[5a]C[5a])(OC[6a])    O(C[5a]N[5a]2)(C[6a]C[6a]2)     C[5a](N[5a]C[5a]C[6a])(N[5a]C[5a])(OC[6a]){1|C<4>,3|C<3>}    O(C[5a]N[5a]2)(C[6a]C[6a]2)   1.3455    0.0000    1     1.3455     0.0000    1
818    971     3:2:2:    3:4:    C[5,5]-3:O[5]-2:O-2:     C[5]-3:B-4:     N    C[5](C[5,5]C[5,5]N[5,5])(O[5]B[5])(OB)    O(C[5]C[5,5]O[5])(BC[6]2O)     C[5](C[5,5]C[5,5]N[5,5])(O[5]B[5])(OB){1|C<3>,1|N<2>,1|N<3>,2|C<4>}    O(C[5]C[5,5]O[5])(BC[6]2O)   1.2502    0.0021    2     1.2502     0.0021    2
818    971     3:2:2:    3:4:    C[5,6a]-3:N[5]-2:O-2:     C[5]-3:C-4:     N    C[5](C[5,6a]C[5,6a]C[6a])(N[5]S[5])(OC)    O(C[5]C[5,6a]N[5])(CCCH)     C[5](C[5,6a]C[5,6a]C[6a])(N[5]S[5])(OC){1|H<1>,2|C<3>,2|O<1>}    O(C[5]C[5,6a]N[5])(CCCH)   1.3158    0.0080    2     1.3158     0.0080    2
818    971     3:2:2:    3:4:    C[5,6a]-3:N[5]-2:O-2:     C[5]-3:C-4:     N    C[5](C[5,6a]C[5,6a]C[6a])(N[5]S[5])(OC)    O(C[5]C[5,6a]N[5])(CCHH)     C[5](C[5,6a]C[5,6a]C[6a])(N[5]S[5])(OC){1|H<1>,2|C<3>,2|O<1>}    O(C[5]C[5,6a]N[5])(CCHH)   1.3111    0.0000    1     1.3111     0.0000    1
818    971     3:2:2:    3:4:    C[5]-3:N[5]-2:O-2:     C[5]-3:C-4:     N    C[5](C[5]C[5]C)(N[5]C[5])(OC)    O(C[5]C[5]N[5])(CCHH)     C[5](C[5]C[5]C)(N[5]C[5])(OC){1|Cu<4>,1|C<3>}    O(C[5]C[5]N[5])(CCHH)   1.3381    0.0000    1     1.3381     0.0000    1
818    971     3:2:2:    3:4:    C[5]-3:N[5]-2:O-2:     C[5]-3:C-4:     N    C[5](C[5]C[5]H)(N[5]C[5])(OC)    O(C[5]C[5]N[5])(CCHH)     C[5](C[5]C[5]H)(N[5]C[5])(OC){3|C<3>}    O(C[5]C[5]N[5])(CCHH)   1.3358    0.0000    1     1.3358     0.0000    1
818    971     3:2:2:    3:4:    C[5]-3:N[5]-2:O-2:     C[5]-3:C-4:     N    C[5](C[5]C[5]H)(N[5]C[5])(OC)    O(C[5]C[5]N[5])(CH3)     C[5](C[5]C[5]H)(N[5]C[5])(OC){1|C<3>,1|H<1>}    O(C[5]C[5]N[5])(CH3)   1.3356    0.0074    3     1.3356     0.0074    3
818    971     3:2:2:    3:4:    C[5]-3:N[5]-2:O-2:     C[5]-3:C-4:     N    C[5](C[5]N[5]N[6])(N[5]S[5])(OC)    O(C[5]C[5]N[5])(CC[3]HH)     C[5](C[5]N[5]N[6])(N[5]S[5])(OC){2|C<4>}    O(C[5]C[5]N[5])(CC[3]HH)   1.3339    0.0000    1     1.3339     0.0000    1
818    971     3:2:2:    3:4:    C[5]-3:O[5]-2:O-2:     C[5]-3:C-4:     N    C[5](C[5]C[5,5]C)(O[5]C[5,5])(OC)    O(C[5]C[5]O[5])(CH3)     C[5](C[5]C[5,5]C)(O[5]C[5,5])(OC){1|C<3>,1|C<4>,1|H<1>,1|N<3>}    O(C[5]C[5]O[5])(CH3)   1.3216    0.0000    1     1.3216     0.0000    1
818    971     3:2:2:    3:4:    C[5]-3:O[5]-2:O-2:     C[5]-3:C-4:     N    C[5](C[5]N[5]H)(O[5]C[5])(OC)    O(C[5]C[5]O[5])(CCHH)     C[5](C[5]N[5]H)(O[5]C[5])(OC){1|Ag<5>,1|C<4>}    O(C[5]C[5]O[5])(CCHH)   1.3338    0.0000    1     1.3314     0.0061    7
818    971     3:2:2:    3:4:    C[5]-3:O[5]-2:O-2:     C[5]-3:C-4:     N    C[5](C[5]N[5]H)(O[5]C[5])(OC)    O(C[5]C[5]O[5])(CCHH)     C[5](C[5]N[5]H)(O[5]C[5])(OC){1|Pd<4>,1|C<3>}    O(C[5]C[5]O[5])(CCHH)   1.3290    0.0050    5     1.3314     0.0061    7
818    971     3:2:2:    3:4:    C[5]-3:O[5]-2:O-2:     C[5]-3:C-4:     N    C[5](C[5]N[5]H)(O[5]C[5])(OC)    O(C[5]C[5]O[5])(CCHH)     C[5](C[5]N[5]H)(O[5]C[5])(OC){1|Pt<4>,1|C<3>}    O(C[5]C[5]O[5])(CCHH)   1.3411    0.0000    1     1.3314     0.0061    7
818    971     3:2:2:    3:4:    C[5]-3:O[5]-2:O-2:     C[5]-3:C-4:     N    C[5](C[5]P[5]C)(O[5]C[5])(OC)    O(C[5]C[5]O[5])(CH3)     C[5](C[5]P[5]C)(O[5]C[5])(OC){1|C<4>,1|O<1>,2|H<1>}    O(C[5]C[5]O[5])(CH3)   1.3001    0.0000    1     1.3001     0.0000    1
818    971     3:2:2:    3:4:    C[5]-3:S[5]-2:O-2:     C[5]-3:C-4:     N    C[5](C[5]C[5]2)(S[5]C[5])(OC)    O(C[5]C[5]S[5])(CH3)     C[5](C[5]C[5]2)(S[5]C[5])(OC){1|C<4>,1|H<1>,2|C<3>}    O(C[5]C[5]S[5])(CH3)   1.3421    0.0020    3     1.3421     0.0020    3
818    971     3:2:2:    3:4:    C[5]-3:S[5]-2:O-2:     C[5]-3:C-4:     N    C[5](C[5]C[5]H)(S[5]C[5])(OC)    O(C[5]C[5]S[5])(CH3)     C[5](C[5]C[5]H)(S[5]C[5])(OC){2|H<1>}    O(C[5]C[5]S[5])(CH3)   1.3502    0.0000    1     1.3502     0.0000    1
818    971     3:2:2:    3:4:    C[5]-3:S[5]-2:O-2:     C[5]-3:C-4:     N    C[5](C[5]C[5]N[5])(S[5]C[5])(OC)    O(C[5]C[5]S[5])(CCHH)     C[5](C[5]C[5]N[5])(S[5]C[5])(OC){1|C<4>,2|C<3>}    O(C[5]C[5]S[5])(CCHH)   1.3306    0.0028    2     1.3306     0.0028    2
818    971     3:2:2:    3:4:    C[5a,6]-3:N[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](C[5a,6]C[5a,6]C[6])(N[5a]O[5a])(OC)    O(C[5a]C[5a,6]N[5a])(CH3)     C[5a](C[5a,6]C[5a,6]C[6])(N[5a]O[5a])(OC){1|C<4>,1|N<4>,2|H<1>}    O(C[5a]C[5a,6]N[5a])(CH3)   1.3337    0.0000    1     1.3337     0.0000    1
818    971     3:2:2:    3:4:    C[5a,6a]-3:N[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]O[5a])(OC)    O(C[5a]C[5a,6a]N[5a])(CC[6a]HH)     C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]O[5a])(OC){1|O<2>,2|C<3>}    O(C[5a]C[5a,6a]N[5a])(CC[6a]HH)   1.3377    0.0000    1     1.3377     0.0000    1
818    971     3:2:2:    3:4:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](C[5a]C[5a]H)(N[5a]N[5a])(OC)    O(C[5a]C[5a]N[5a])(CCHH)     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(OC){1|C<3>,1|C<4>}    O(C[5a]C[5a]N[5a])(CCHH)   1.3568    0.0000    1     1.3560     0.0063    3
818    971     3:2:2:    3:4:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](C[5a]C[5a]H)(N[5a]N[5a])(OC)    O(C[5a]C[5a]N[5a])(CCHH)     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(OC){2|C<3>}    O(C[5a]C[5a]N[5a])(CCHH)   1.3556    0.0088    2     1.3560     0.0063    3
818    971     3:2:2:    3:4:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](C[5a]C[5a]H)(N[5a]N[5a])(OC)    O(C[5a]C[5a]N[5a])(CC[6a]HH)     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(OC){1|C<3>,1|H<1>}    O(C[5a]C[5a]N[5a])(CC[6a]HH)   1.3519    0.0000    1     1.3519     0.0000    1
818    971     3:2:2:    3:4:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](C[5a]C[5a]H)(N[5a]O[5a])(OC)    O(C[5a]C[5a]N[5a])(CC[5]HH)     C[5a](C[5a]C[5a]H)(N[5a]O[5a])(OC){1|H<1>}    O(C[5a]C[5a]N[5a])(CC[5]HH)   1.3468    0.0073    3     1.3468     0.0073    3
818    971     3:2:2:    3:4:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](C[5a]N[5a]N)(N[5a]C[5a])(OC)    O(C[5a]C[5a]N[5a])(CH3)     C[5a](C[5a]N[5a]N)(N[5a]C[5a])(OC){2|H<1>}    O(C[5a]C[5a]N[5a])(CH3)   1.3385    0.0000    1     1.3385     0.0000    1
818    971     3:2:2:    3:4:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](C[5a]N[5a]N)(N[5a]O[5a])(OC)    O(C[5a]C[5a]N[5a])(CCHH)     C[5a](C[5a]N[5a]N)(N[5a]O[5a])(OC){}    O(C[5a]C[5a]N[5a])(CCHH)   1.3312    0.0056    4     1.3312     0.0056    4
818    971     3:2:2:    3:4:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:S-4:     N    C[5a](C[5a]C[5a]H)(N[5a]N[5a])(OS)    O(C[5a]C[5a]N[5a])(SC[6a]OO)     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(OS){1|C<4>,1|S<4>}    O(C[5a]C[5a]N[5a])(SC[6a]OO)   1.3775    0.0000    1     1.3775     0.0000    1
818    971     3:2:2:    3:4:    C[5a]-3:N[5a]-2:O-2:     C[5a]-3:S-4:     N    C[5a](C[5a]O[5a]C)(N[5a]C[5a])(OS)    O(C[5a]C[5a]N[5a])(SCOO)     C[5a](C[5a]O[5a]C)(N[5a]C[5a])(OS){1|C<3>}    O(C[5a]C[5a]N[5a])(SCOO)   1.3978    0.0000    1     1.3978     0.0000    1
818    971     3:2:2:    3:4:    C[5a]-3:O[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](C[5a]C[5a]C)(O[5a]C[5a])(OC)    O(C[5a]C[5a]O[5a])(CC[6a]HH)     C[5a](C[5a]C[5a]C)(O[5a]C[5a])(OC){2|C<3>}    O(C[5a]C[5a]O[5a])(CC[6a]HH)   1.3129    0.0000    1     1.3129     0.0000    1
818    971     3:2:2:    3:4:    C[5a]-3:O[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](C[5a]C[5a]C)(O[5a]C[5a])(OC)    O(C[5a]C[5a]O[5a])(CH3)     C[5a](C[5a]C[5a]C)(O[5a]C[5a])(OC){1|C<3>,1|C<4>}    O(C[5a]C[5a]O[5a])(CH3)   1.3168    0.0018    2     1.3168     0.0018    2
818    971     3:2:2:    3:4:    C[5a]-3:O[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](C[5a]C[5a]H)(O[5a]C[5a])(OC)    O(C[5a]C[5a]O[5a])(CH3)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(OC){1|C<3>,1|C<4>}    O(C[5a]C[5a]O[5a])(CH3)   1.3367    0.0017    2     1.3367     0.0017    2
818    971     3:2:2:    3:4:    C[5a]-3:O[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](C[5a]C[6a]N[5a])(O[5a]C[5a])(OC)    O(C[5a]C[5a]O[5a])(CC3)     C[5a](C[5a]C[6a]N[5a])(O[5a]C[5a])(OC){1|C<4>,2|C<3>}    O(C[5a]C[5a]O[5a])(CC3)   1.3246    0.0000    1     1.3246     0.0000    1
818    971     3:2:2:    3:4:    C[5a]-3:O[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](C[5a]N[5a]C)(O[5a]C[5a])(OC)    O(C[5a]C[5a]O[5a])(CH3)     C[5a](C[5a]N[5a]C)(O[5a]C[5a])(OC){1|C<3>}    O(C[5a]C[5a]O[5a])(CH3)   1.3365    0.0000    1     1.3365     0.0000    1
818    971     3:2:2:    3:4:    N[5a]-3:N[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](N[5a]C[5a,6a]C)(N[5a]C[5a,6a])(OC)    O(C[5a]N[5a]2)(CCHH)     C[5a](N[5a]C[5a,6a]C)(N[5a]C[5a,6a])(OC){2|C<3>}    O(C[5a]N[5a]2)(CCHH)   1.3400    0.0070    2     1.3400     0.0070    2
818    971     3:2:2:    3:4:    N[5a]-3:N[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](N[5a]C[5a]C)(N[5a]C[5a])(OC)    O(C[5a]N[5a]2)(CH3)     C[5a](N[5a]C[5a]C)(N[5a]C[5a])(OC){1|H<1>,1|N<3>}    O(C[5a]N[5a]2)(CH3)   1.3347    0.0000    1     1.3347     0.0000    1
818    971     3:2:2:    3:4:    N[5a]-3:N[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](N[5a]C[5a]C[6a])(N[5a]N[5a])(OC)    O(C[5a]N[5a]2)(CCHH)     C[5a](N[5a]C[5a]C[6a])(N[5a]N[5a])(OC){1|Ge<4>,1|O<1>,2|C<3>}    O(C[5a]N[5a]2)(CCHH)   1.3287    0.0000    1     1.3287     0.0000    1
818    971     3:2:2:    3:4:    N[5a]-3:N[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](N[5a]C[6a]N[5a])(N[5a]N[5a])(OC)    O(C[5a]N[5a]2)(CC[6a]HH)     C[5a](N[5a]C[6a]N[5a])(N[5a]N[5a])(OC){2|C<3>}    O(C[5a]N[5a]2)(CC[6a]HH)   1.3260    0.0000    1     1.3260     0.0000    1
818    971     3:3:2:    3:1:    C[5,6]-3:C[5]-3:O-2:     C[5]-3:H-1:     N    C[5](C[5,6]C[5,6]C[6])(C[5]C[5,6]O)(OH)    O(C[5]C[5,6]C[5])(H)     C[5](C[5,6]C[5,6]C[6])(C[5]C[5,6]O)(OH){1|C<3>,2|H<1>,4|C<4>}    O(C[5]C[5,6]C[5])(H)   1.3454    0.0000    1     1.3454     0.0000    1
818    971     3:3:2:    3:1:    C[5,6]-3:C[5]-3:O-2:     C[5]-3:H-1:     N    C[5](C[5,6]C[5,6]C[6])(C[5]O[5]O)(OH)    O(C[5]C[5,6]C[5])(H)     C[5](C[5,6]C[5,6]C[6])(C[5]O[5]O)(OH){1|C<3>,1|H<1>,2|C<4>}    O(C[5]C[5,6]C[5])(H)   1.3468    0.0017    2     1.3468     0.0017    2
818    971     3:3:2:    3:1:    C[5,6a]-3:C[5]-3:O-2:     C[5]-3:H-1:     N    C[5](C[5,6a]C[5,6a]C[6a])(C[5]S[5]C)(OH)    O(C[5]C[5,6a]C[5])(H)     C[5](C[5,6a]C[5,6a]C[6a])(C[5]S[5]C)(OH){1|H<1>,2|C<3>}    O(C[5]C[5,6a]C[5])(H)   1.3308    0.0063    2     1.3308     0.0063    2
818    971     3:3:2:    3:1:    C[5]-3:C[5]-3:O-2:     C[5]-3:H-1:     N    C[5](C[5]C[5,5]C[6a])(C[5]C[5]O)(OH)    O(C[5]C[5]2)(H)     C[5](C[5]C[5,5]C[6a])(C[5]C[5]O)(OH){2|H<1>,4|C<3>}    O(C[5]C[5]2)(H)   1.3397    0.0071    2     1.3397     0.0071    2
818    971     3:3:2:    3:1:    C[5]-3:C[5]-3:O-2:     C[5]-3:H-1:     N    C[5](C[5]C[5,5]O)(C[5]C[5]S)(OH)    O(C[5]C[5]2)(H)     C[5](C[5]C[5,5]O)(C[5]C[5]S)(OH){2|C<3>,2|H<1>}    O(C[5]C[5]2)(H)   1.3330    0.0000    1     1.3330     0.0000    1
818    971     3:3:2:    3:1:    C[5]-3:C[5]-3:O-2:     C[5]-3:H-1:     N    C[5](C[5]C[5,6]C[5a])(C[5]C[5]O)(OH)    O(C[5]C[5]2)(H)     C[5](C[5]C[5,6]C[5a])(C[5]C[5]O)(OH){2|H<1>,4|C<3>}    O(C[5]C[5]2)(H)   1.3499    0.0000    1     1.3499     0.0000    1
818    971     3:3:2:    3:1:    C[5]-3:C[5]-3:O-2:     C[5]-3:H-1:     N    C[5](C[5]C[5]C)(C[5]C[5]O)(OH)    O(C[5]C[5]2)(H)     C[5](C[5]C[5]C)(C[5]C[5]O)(OH){1|C<3>,2|C<4>}    O(C[5]C[5]2)(H)   1.3485    0.0000    1     1.3497     0.0066    6
818    971     3:3:2:    3:1:    C[5]-3:C[5]-3:O-2:     C[5]-3:H-1:     N    C[5](C[5]C[5]C)(C[5]C[5]O)(OH)    O(C[5]C[5]2)(H)     C[5](C[5]C[5]C)(C[5]C[5]O)(OH){1|H<1>,3|C<4>}    O(C[5]C[5]2)(H)   1.3567    0.0000    1     1.3497     0.0066    6
818    971     3:3:2:    3:1:    C[5]-3:C[5]-3:O-2:     C[5]-3:H-1:     N    C[5](C[5]C[5]C)(C[5]C[5]O)(OH)    O(C[5]C[5]2)(H)     C[5](C[5]C[5]C)(C[5]C[5]O)(OH){2|C<4>,2|H<1>}    O(C[5]C[5]2)(H)   1.3528    0.0000    1     1.3497     0.0066    6
818    971     3:3:2:    3:1:    C[5]-3:C[5]-3:O-2:     C[5]-3:H-1:     N    C[5](C[5]C[5]C)(C[5]C[5]O)(OH)    O(C[5]C[5]2)(H)     C[5](C[5]C[5]C)(C[5]C[5]O)(OH){4|H<1>}    O(C[5]C[5]2)(H)   1.3467    0.0080    3     1.3497     0.0066    6
818    971     3:3:2:    3:1:    C[5]-3:C[5]-3:O-2:     C[5]-3:H-1:     N    C[5](C[5]C[5]H)(C[5]C[5]O)(OH)    O(C[5]C[5]2)(H)     C[5](C[5]C[5]H)(C[5]C[5]O)(OH){4|H<1>}    O(C[5]C[5]2)(H)   1.3577    0.0041    3     1.3577     0.0041    3
818    971     3:3:2:    3:1:    C[5]-3:C[5]-3:O-2:     C[5]-3:H-1:     N    C[5](C[5]C[5]H)(C[5]S[5]C)(OH)    O(C[5]C[5]2)(H)     C[5](C[5]C[5]H)(C[5]S[5]C)(OH){1|C<3>}    O(C[5]C[5]2)(H)   1.3501    0.0040    2     1.3501     0.0040    2
818    971     3:3:2:    3:1:    C[5]-3:C[5]-3:O-2:     C[5]-3:H-1:     N    C[5](C[5]C[5]O)(C[5]O[5]O)(OH)    O(C[5]C[5]2)(H)     C[5](C[5]C[5]O)(C[5]O[5]O)(OH){1|C<4>,1|H<1>}    O(C[5]C[5]2)(H)   1.3635    0.0103    4     1.3635     0.0103    4
818    971     3:3:2:    3:1:    C[5]-3:C[5]-3:O-2:     C[5]-3:H-1:     N    C[5](C[5]C[5]O)(C[5]S[5]C)(OH)    O(C[5]C[5]2)(H)     C[5](C[5]C[5]O)(C[5]S[5]C)(OH){1|C<3>}    O(C[5]C[5]2)(H)   1.3397    0.0040    4     1.3397     0.0040    4
