466  856  SP2_SP3  Y  3:2:4:4:  3:4:1:  C-3_0_0_0:C-3_0_0_0:N[6]-3_2_0:N[6]-3_2  C[6,6a]-2_2_2:C[6]-3_3_2_2:H-2  449_32964_1  661_1587_1  1.4303  0.0051  2  1.4303  0.0051  2  
466  856  SP2_SP3  Y  3:2:4:4:  3:4:1:  C-3_0_0_0:C-3_0_0_0:N[6]-3_2_2:O[6]-3_3  C[6,6a]-2_2_2:C[6]-3_3_3_2:O-2  449_33071_1  661_1611_1  1.4948  0.0021  2  1.4948  0.0021  2  
466  856  SP2_SP3  Y  3:2:4:4:  4:3:1:  C-3_0_0_0:C-3_0_0_0:N[6]-3_2_0:S[6]-3_2  C[6]-2_2_0:C[6]-3_3_2_2:H-2  449_33973_1  661_4469_1  1.4728  0.0067  2  1.4728  0.0067  2  
466  856  SP2_SP3  Y  3:2:4:4:  4:3:4:  C-3_0_0_0:C-3_0_0_0:N[6]-3_3_2:N[6]-3_3  C-3_3_2_0:C[6]-3_2_0:C[6]-3_3_2_2  449_33364_1  661_4323_2  1.5113  0.0000  1  1.5113  0.0000  1  
466  856  SP2_SP3  Y  3:2:4:4:  4:4:3:  C-3_0_0_0:C-3_0_0_0:N[6]-3_3_2:O[6]-3_3  C-2_2_2:C[6]-3_2_0_0:C[6]-3_3_3_2  449_33387_1  661_3476_1  1.4978  0.0000  1  1.4978  0.0000  1  
466  856  SP2_SP3  Y  3:3:1:1:  3:3:4:  C[6]-3_2_1:H-3:H-3:N[6]-3_2_2  C[6a]-2_2_2:C[6]-2_2_0_0:C[6]-3_2_2  449_35204_1  661_1823_2  1.4518  0.0000  1  1.4499  0.0027  2  
466  856  SP2_SP3  Y  3:3:1:1:  3:3:4:  C[6]-3_2_1:H-3:H-3:N[6]-3_2_2  C[6a]-2_2_2:C[6]-2_2_0_0:C[6]-3_2_2  449_35204_2  661_1823_1  1.4480  0.0000  1  1.4499  0.0027  2  
466  856  SP2_SP3  Y  3:3:1:1:  3:3:4:  C[6]-3_2_2:H-3:H-3:N[6]-3_2_2  C[6a]-2_2_2:C[6]-2_2_0_0:C[6]-2_2_2  449_35250_1  661_2340_1  1.4514  0.0000  1  1.4514  0.0000  1  
466  856  SP2_SP3  Y  3:3:1:1:  3:3:4:  C[6]-3_2_2:H-3:H-3:N[6]-3_2_2  C[6a]-2_2_2:C[6]-2_2_0_0:C[6]-3_2_2  449_35250_2  661_2340_2  1.4670  0.0040  4  1.4670  0.0040  4  
466  856  SP2_SP3  Y  3:3:1:1:  3:3:4:  C[6]-3_3_2:H-3:H-3:N[6]-3_3_3  C[6]-2_2_0_0:P[6]-3_2_2:P[6]-3_3_2  449_20266_2  661_5076_1  1.4770  0.0003  2  1.4770  0.0003  2  
466  856  SP2_SP3  Y  3:3:1:1:  3:3:4:  H-3:H-3:N[6]-3_2_2:N[6]-3_3_2  C[6,6]-2_2_2:C[6a]-2_2_2:C[6]-2_2_0_0  449_32414_1  661_1013_1  1.4475  0.0000  1  1.4475  0.0000  1  
466  856  SP2_SP3  Y  3:3:1:1:  3:4:1:  C[6]-3_2_2:H-3:H-3:N[6]-3_2_0  C[6]-2_2_0_0:C[6]-2_2_2:H-2  449_28193_1  661_2134_1  1.4629  0.0000  1  1.4629  0.0000  1  
466  856  SP2_SP3  Y  3:3:1:1:  3:4:1:  C[6]-3_2_2:H-3:H-3:N[6]-3_2_0  C[6]-2_2_0_0:C[6]-3_2_2:H-2  449_28164_1  661_1986_1  1.4629  0.0000  1  1.4629  0.0000  1  
466  856  SP2_SP3  Y  3:3:1:1:  3:4:1:  C[6]-3_3_0:H-3:H-3:N[6]-3_2_0  C[6,6a]-2_2_2:C[6]-2_2_0_0:H-2  449_32871_1  661_1792_1  1.4561  0.0000  1  1.4561  0.0000  1  
466  856  SP2_SP3  Y  3:3:1:1:  3:4:1:  H-3:H-3:N[6]-3_2_0:N[6]-3_3_0  C[6,6a]-2_2_2:C[6]-3_2_0_0:H-2  449_32975_1  661_1598_2  1.4453  0.0127  12  1.4453  0.0127  12  
466  856  SP2_SP3  Y  3:3:1:1:  3:4:1:  H-3:H-3:N[6]-3_2_2:N[6]-3_2_2  C[6]-2_2_0_0:C[6]-2_2_2:O-2  449_34456_1  661_3901_1  1.4986  0.0000  1  1.4986  0.0000  1  
