643  941  SP2_SP2  N  2:2:2:  3:4:  N-3_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:S-2_2_2_2  451_28969_1  599_8419_0  1.3836  0.0080  14  1.3782  0.0101  29  
643  941  SP2_SP2  N  2:2:2:  3:4:  N-3_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:S-2_2_2_2  451_28969_2  599_8419_0  1.3843  0.0058  4  1.3782  0.0101  29  
643  941  SP2_SP2  N  2:2:2:  3:4:  N-3_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:S-2_2_2_2  451_28969_3  599_8419_0  1.3692  0.0068  11  1.3782  0.0101  29  
643  941  SP2_SP2  N  2:3:2:  3:1:  N-2_0:N[6a]-2_2_0:N[6a]-2_2  C[6a]-2_2_2:H-2  451_28269_1  599_8402_0  1.3316  0.0000  1  1.3316  0.0000  1  
643  941  SP2_SP2  N  2:3:2:  3:1:  N-2_0:N[6a]-2_2_0:N[6a]-2_2  C[6a]-2_2_2:H-2  451_28382_1  599_8402_0  1.3393  0.0000  1  1.3393  0.0000  1  
643  941  SP2_SP2  N  2:3:2:  3:2:  C[6a]-2_2_0:N-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_1  451_28323_1  599_8298_0  1.4133  0.0000  1  1.4133  0.0000  1  
643  941  SP2_SP2  N  2:3:2:  3:2:  C[6a]-2_2_0:N-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_1  451_29182_1  599_8298_0  1.4014  0.0257  14  1.4014  0.0257  14  
643  941  SP2_SP2  N  2:3:2:  3:2:  C[6a]-2_2_0:N-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_2  451_28453_1  599_8292_0  1.4323  0.0000  1  1.4323  0.0000  1  
643  941  SP2_SP2  N  2:3:2:  3:2:  C[6a]-2_2_0:N-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_2  451_28622_1  599_8292_0  1.4390  0.0029  3  1.4390  0.0029  3  
643  941  SP2_SP2  N  2:3:2:  3:2:  C[6a]-3_2_2:N-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_1  451_29177_1  599_8298_0  1.4068  0.0000  1  1.4068  0.0000  1  
643  941  SP2_SP2  N  2:3:2:  3:3:  C[6a]-2_2_0:N-2_2:N[6a]-2_2  C-2_2_2:C[6a]-2_2_2  451_28613_1  599_8243_0  1.3867  0.0020  2  1.3867  0.0020  2  
643  941  SP2_SP2  N  2:3:2:  3:3:  C[6a]-2_2_0:N-2_2:N[6a]-2_2  C-3_2_2:C[6a]-2_2_2  451_28613_1  599_8180_0  1.4052  0.0014  4  1.4052  0.0014  4  
643  941  SP2_SP2  N  2:3:2:  3:3:  C[6a]-2_2_0:N-2_2:N[6a]-2_2  C[5]-2_2_2:C[6a]-2_2_2  451_28245_1  599_4413_0  1.3999  0.0042  4  1.3999  0.0042  4  
643  941  SP2_SP2  N  2:3:2:  3:3:  C[6a]-2_2_0:N-2_2:N[6a]-2_2  C[5]-2_2_2:C[6a]-2_2_2  451_28616_1  599_8256_0  1.3756  0.0071  2  1.3756  0.0071  2  
643  941  SP2_SP2  N  2:3:2:  3:3:  C[6a]-2_2_0:N-2_2:N[6a]-2_2  C[5a]-2_2_2:C[6a]-2_2_2  451_28246_1  599_5096_0  1.3990  0.0038  11  1.3990  0.0038  11  
643  941  SP2_SP2  N  2:3:2:  3:3:  C[6a]-2_2_0:N-2_2:N[6a]-2_2  C[5a]-2_2_2:C[6a]-2_2_2  451_28451_1  599_5096_0  1.4014  0.0015  2  1.4014  0.0015  2  
643  941  SP2_SP2  N  2:3:2:  3:3:  C[6a]-2_2_2:N-3_2:N[6a]-2_2  C[6a]-2_2_2:S-2_0_0  451_28340_1  599_8325_0  1.4030  0.0000  1  1.4030  0.0000  1  
643  941  SP2_SP2  N  2:3:2:  3:3:  N-2_2:N[6a]-2_2:N[6a]-3_2_2  C-2_2_0:C[6a]-2_2_2  451_28761_1  599_8390_0  1.3445  0.0000  1  1.3445  0.0000  1  
643  941  SP2_SP2  N  2:3:2:  3:3:  N-2_2:N[6a]-2_2_0:N[6a]-2_2  C-2_2_0:C[6a]-2_2_2  451_28378_1  599_8390_0  1.3713  0.0072  3  1.3713  0.0072  3  
643  941  SP2_SP2  N  2:3:3:  7:3:  C[6a]-3_2_2:C[6a]-3_2_2:N-7_2  C[6a]-2_2_2:Nb[3,3,6,6]-3_3_3_3_2_2_2  451_27399_1  599_9323_0  1.4025  0.0030  2  1.4025  0.0030  2  
643  941  SP2_SP2  N  3:2:2:  3:1:  C[5,6a]-2_2_2:N-2_0:N[6a]-2_2  C[6a]-2_2_2:H-2  451_2275_1  599_6738_0  1.3130  0.0000  1  1.3130  0.0000  1  
643  941  SP2_SP2  N  3:2:2:  3:1:  C[5a,6a]-2_2_2:N-2_0:N[6a]-2_2  C[6a]-2_2_2:H-2  451_4191_1  599_6794_0  1.3240  0.0000  1  1.3240  0.0000  1  
643  941  SP2_SP2  N  3:2:2:  3:1:  C[6a,6a]-2_2_2:N-2_0:N[6a]-2_2  C[6a]-2_2_2:H-2  451_9300_1  599_7014_0  1.3243  0.0000  1  1.3243  0.0000  1  
643  941  SP2_SP2  N  3:2:2:  3:1:  C[6a]-2_2_0:N-2_0:N[6a]-2_2  C[6a]-2_2_2:H-2  451_15393_1  599_8284_0  1.3527  0.0050  2  1.3452  0.0135  3  
643  941  SP2_SP2  N  3:2:2:  3:1:  C[6a]-2_2_0:N-2_0:N[6a]-2_2  C[6a]-2_2_2:H-2  451_15393_2  599_8284_0  1.3301  0.0000  1  1.3452  0.0135  3  
643  941  SP2_SP2  N  3:2:2:  3:1:  C[6a]-2_2_0:N-2_0:N[6a]-2_2  C[6a]-2_2_2:H-2  451_18390_1  599_8284_0  1.3582  0.0000  1  1.3582  0.0000  1  
643  941  SP2_SP2  N  3:2:2:  3:1:  C[6a]-2_2_0:N-2_0:N[6a]-2_2  C[6a]-2_2_2:H-2  451_18782_1  599_8284_0  1.3211  0.0106  2  1.3211  0.0106  2  
643  941  SP2_SP2  N  3:2:2:  3:1:  C[6a]-2_2_0:N-2_0:N[6a]-2_2  C[6a]-2_2_2:H-2  451_21452_1  599_8284_0  1.3424  0.0061  2  1.3368  0.0096  4  
643  941  SP2_SP2  N  3:2:2:  3:1:  C[6a]-2_2_0:N-2_0:N[6a]-2_2  C[6a]-2_2_2:H-2  451_21452_2  599_8284_0  1.3387  0.0000  1  1.3368  0.0096  4  
